Cytokine,Disease,Reference,Uniprot
CCL3,Mers CoV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127703/pdf/main.pdf,
CCL5,Mers CoV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127703/pdf/main.pdf,
IL 8,Mers CoV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127703/pdf/main.pdf,
TGF beta,Mers CoV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7872062/pdf/KHVI_17_1797369.pdf,
IL 6,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8218364/pdf/WJG-27-3182.pdf,
IL 33,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8218364/pdf/WJG-27-3182.pdf,
TNF alpha,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8812780/pdf/KVIR_13_2028483.pdf,
TGF beta,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102499/pdf/WJG-24-3488.pdf,
CXCL10,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102499/pdf/WJG-24-3488.pdf,
IL 10,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102499/pdf/WJG-24-3488.pdf,
IL 8,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102499/pdf/WJG-24-3488.pdf,
IL 1,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102499/pdf/WJG-24-3488.pdf,
IFN gamma,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6515358/pdf/id8b00223.pdf,
IL 12,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8452902/pdf/fimmu-12-733364.pdf,
IL 15,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8452902/pdf/fimmu-12-733364.pdf,
IFN alpha,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8310268/pdf/viruses-13-01327.pdf,
CCL3,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8173382/pdf/WJG-27-2727.pdf,
IL 2,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7349259/pdf/cells-09-01486.pdf,
TGF alpha,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8146732/pdf/viruses-13-00777.pdf,
IL 21,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8146732/pdf/viruses-13-00777.pdf,
IL 18,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7081008/pdf/WJG-26-883.pdf,
IFN beta,Human hepatitis B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7081008/pdf/WJG-26-883.pdf,
IL 8,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7912500/pdf/12885_2021_Article_7932.pdf,
IL 6,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7912500/pdf/12885_2021_Article_7932.pdf,
IL 7,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6954676/pdf/CEI-199-172.pdf,
LTB,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6954676/pdf/CEI-199-172.pdf,
CXCL13,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6954676/pdf/CEI-199-172.pdf,
NGF,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815837/pdf/41598_2021_Article_81500.pdf,
IL 33,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815837/pdf/41598_2021_Article_81500.pdf,
CCL20,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815837/pdf/41598_2021_Article_81500.pdf,
TNF alpha,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815837/pdf/41598_2021_Article_81500.pdf,
CXCL2,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815837/pdf/41598_2021_Article_81500.pdf,
IL 4,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7311531/pdf/41368_2020_Article_87.pdf,
TGF beta,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7311531/pdf/41368_2020_Article_87.pdf,
IL 1,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465709/pdf/biomolecules-10-01150.pdf,
iNOS,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465709/pdf/biomolecules-10-01150.pdf,
COX 2,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465709/pdf/biomolecules-10-01150.pdf,
TGF alpha,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465709/pdf/biomolecules-10-01150.pdf,
IL 10,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6825797/pdf/APJCP-20-935.pdf,
IL 2,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6825797/pdf/APJCP-20-935.pdf,
IL 12,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6825797/pdf/APJCP-20-935.pdf,
IL 5,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6825797/pdf/APJCP-20-935.pdf,
IL 13,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6825797/pdf/APJCP-20-935.pdf,
CXCL10,Oral Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7310129/pdf/12920_2020_Article_741.pdf,
IL 2,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IFN gamma,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 12,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 21,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 10,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 32,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 37,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
TGF beta,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 1,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 6,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 8,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 17,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 4,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 5,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937982/pdf/main.pdf,
IL 18,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619016/pdf/cells-10-03104.pdf,
TNF alpha,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619016/pdf/cells-10-03104.pdf,
CCL2,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CCL22,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CCL5,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CCL8,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CCL17,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CCL19,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CCL20,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CCL21,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL1,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL2,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL3,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL5,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL6,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL10,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL11,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL12,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL13,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
CXCL16,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8619382/pdf/medicina-57-01141.pdf,
IL 33,Cervical Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8887913/pdf/ijn-17-869.pdf,
IFN gamma,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9149845/pdf/diseases-10-00027.pdf,
IL 7,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9081975/pdf/ijo-60-06-05358.pdf,
TGF beta,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9081975/pdf/ijo-60-06-05358.pdf,
CCL2,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790781/pdf/pone.0074888.pdf,
CCL3,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790781/pdf/pone.0074888.pdf,
CXCL1,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790781/pdf/pone.0074888.pdf,
CXCL5,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790781/pdf/pone.0074888.pdf,
IL 1,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790781/pdf/pone.0074888.pdf,
TNF alpha,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790781/pdf/pone.0074888.pdf,
PTGS2,Anal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790781/pdf/pone.0074888.pdf,
IL 12,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8973010/pdf/goab052.pdf,
IL 10,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8973010/pdf/goab052.pdf,
IL 33,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8973010/pdf/goab052.pdf,
IL 17,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5839767/pdf/JEM_20171971.pdf,
IL 4,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5839767/pdf/JEM_20171971.pdf,
IL 13,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5839767/pdf/JEM_20171971.pdf,
TNF alpha,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5839767/pdf/JEM_20171971.pdf,
TGF beta,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8639035/pdf/je-15-S120.pdf,
IL 8,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8773924/pdf/cells-11-00184.pdf,
IL 22,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8826947/pdf/msphere.00772-21.pdf,
IFN gamma,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8826947/pdf/msphere.00772-21.pdf,
CCL20,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6581611/pdf/nihms-1524109.pdf,
CXCL1,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6581611/pdf/nihms-1524109.pdf,
IL 6,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499694/pdf/nihms873435.pdf,
IL 11,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499694/pdf/nihms873435.pdf,
IL 21,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3964262/pdf/gnl-8-131.pdf,
IL 23,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3964262/pdf/gnl-8-131.pdf,
EGF,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419059/pdf/CAS-111-2696.pdf,
FGF,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419059/pdf/CAS-111-2696.pdf,
CXCL12,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419059/pdf/CAS-111-2696.pdf,
PDGF,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419059/pdf/CAS-111-2696.pdf,
PGE2,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419059/pdf/CAS-111-2696.pdf,
IL 1,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419059/pdf/CAS-111-2696.pdf,
CXCL9,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419059/pdf/CAS-111-2696.pdf,
CXCL10,Stomach Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419059/pdf/CAS-111-2696.pdf,
IL 6,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6685213/pdf/nihms-1037079.pdf,
IL 1,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6685213/pdf/nihms-1037079.pdf,
IL 18,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6685213/pdf/nihms-1037079.pdf,
CCL1,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6685213/pdf/nihms-1037079.pdf,
CCL2,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6685213/pdf/nihms-1037079.pdf,
CCL3,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6685213/pdf/nihms-1037079.pdf,
CXCL10,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6685213/pdf/nihms-1037079.pdf,
IL 8,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6310482/pdf/nihms882595.pdf,
TNF alpha,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6310482/pdf/nihms882595.pdf,
IL 10,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6310482/pdf/nihms882595.pdf,
IL 5,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452303/pdf/jiy654.pdf,
TGF beta,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452303/pdf/jiy654.pdf,
IL 33,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7781465/pdf/jiaa340.pdf,
IFN alpha,Kaposi Sarcoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5004954/pdf/JCI84418.pdf,
IL 4,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5591063/pdf/CAAC-67-378.pdf,
IL 10,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5591063/pdf/CAAC-67-378.pdf,
IL 13,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5591063/pdf/CAAC-67-378.pdf,
TNF alpha,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5591063/pdf/CAAC-67-378.pdf,
IL 6,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5591063/pdf/CAAC-67-378.pdf,
IL 8,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5591063/pdf/CAAC-67-378.pdf,
CCL2,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5591063/pdf/CAAC-67-378.pdf,
IL 1,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5591063/pdf/CAAC-67-378.pdf,
CXCL12,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5591063/pdf/CAAC-67-378.pdf,
IL 17,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696282/pdf/ijms-21-08613.pdf,
TGF beta,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696282/pdf/ijms-21-08613.pdf,
HGF,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5396460/pdf/nihms839391.pdf,
IL 2,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8202289/pdf/fimmu-12-674192.pdf,
IL 27,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
IL 35,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
IL 37,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
IL 11,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
CLC,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
CNTF,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
CT 1,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
LIF,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
NPN,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
OSM,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8624266/pdf/jpm-11-01073.pdf,
CCL5,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6721665/pdf/cells-08-00857.pdf,
CXCL18,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6721665/pdf/cells-08-00857.pdf,
CXCL10,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6721665/pdf/cells-08-00857.pdf,
IL 12,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4374346/pdf/13058_2015_Article_522.pdf,
CXCL1,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9134916/pdf/ijbsv18p3421.pdf,
CXCL9,Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9134916/pdf/ijbsv18p3421.pdf,
TNF alpha,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5627048/pdf/rsob-7-170070.pdf,
IL 6,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5627048/pdf/rsob-7-170070.pdf,
IL 8,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5627048/pdf/rsob-7-170070.pdf,
CCL2,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5627048/pdf/rsob-7-170070.pdf,
CXCL12,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5627048/pdf/rsob-7-170070.pdf,
IL 23,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6749995/pdf/nihms-1028081.pdf,
IL 21,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6946810/pdf/41467_2019_Article_13855.pdf,
IL 1,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6946810/pdf/41467_2019_Article_13855.pdf,
IL 17,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6946810/pdf/41467_2019_Article_13855.pdf,
IL 18,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6946810/pdf/41467_2019_Article_13855.pdf,
TGF beta,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6946810/pdf/41467_2019_Article_13855.pdf,
CXCL10,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8579698/pdf/main.pdf,
IFN gamma,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8977151/pdf/TCA-13-889.pdf,
IL 12,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8977151/pdf/TCA-13-889.pdf,
IL 15,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8977151/pdf/TCA-13-889.pdf,
IL 2,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8977151/pdf/TCA-13-889.pdf,
IL 4,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8977151/pdf/TCA-13-889.pdf,
IL 10,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8977151/pdf/TCA-13-889.pdf,
IL 7,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8977151/pdf/TCA-13-889.pdf,
IL 5,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8977151/pdf/TCA-13-889.pdf,
IL 22,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9121494/pdf/10.1177_15347354221096080.pdf,
CXCL5,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9121494/pdf/10.1177_15347354221096080.pdf,
IL 11,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9121494/pdf/10.1177_15347354221096080.pdf,
IL 9,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9121494/pdf/10.1177_15347354221096080.pdf,
IL 21,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9121494/pdf/10.1177_15347354221096080.pdf,
CXCL1,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9121494/pdf/10.1177_15347354221096080.pdf,
CCL5,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8313354/pdf/OMCL2021-5563746.pdf,
CCL18,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8313354/pdf/OMCL2021-5563746.pdf,
CX3CL1,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8313354/pdf/OMCL2021-5563746.pdf,
CXCL13,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8313354/pdf/OMCL2021-5563746.pdf,
IL 13,Lung Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4944034/pdf/DM2016-2138627.pdf,
IL 6,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7859995/pdf/or-45-03-1105.pdf,
CXCL1,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7882059/pdf/nihms-1665327.pdf,
CXCL5,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7882059/pdf/nihms-1665327.pdf,
CXCL6,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7882059/pdf/nihms-1665327.pdf,
CXCL12,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7882059/pdf/nihms-1665327.pdf,
IL 8,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7882059/pdf/nihms-1665327.pdf,
CCL2,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7882059/pdf/nihms-1665327.pdf,
CCL5,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7882059/pdf/nihms-1665327.pdf,
TGF beta,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5739186/pdf/10.1177_1534735415622011.pdf,
CXCL16,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6407885/pdf/nihms-1001099.pdf,
IFN gamma,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6407885/pdf/nihms-1001099.pdf,
TNF alpha,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7853149/pdf/41418_2020_Article_575.pdf,
HGF,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7008366/pdf/zbc1474.pdf,
VEGF,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6801104/pdf/nihms-1539067.pdf,
IL 1,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5138024/pdf/ijn-11-6401.pdf,
IL 10,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5138024/pdf/ijn-11-6401.pdf,
IL 2,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5138024/pdf/ijn-11-6401.pdf,
IL 18,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5138024/pdf/ijn-11-6401.pdf,
IL 4,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5138024/pdf/ijn-11-6401.pdf,
IL 17,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5138024/pdf/ijn-11-6401.pdf,
IL 22,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6616367/pdf/nihms-1039457.pdf,
IL 33,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6616367/pdf/nihms-1039457.pdf,
CCL20,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7524494/pdf/jci-130-137553.pdf,
CCL26,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7524494/pdf/jci-130-137553.pdf,
IL 37,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6829617/pdf/cells-08-01235.pdf,
CXCL10,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5737819/pdf/nihms918302.pdf,
CXCL2,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5737819/pdf/nihms918302.pdf,
CCL17,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5737819/pdf/nihms918302.pdf,
CCL22,Liver Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5737819/pdf/nihms918302.pdf,
